樣品名稱,sample name,eng text
胚芽粳米(台粳9號),germ rice (tai-gu no 9),"Taiwanese short-grain rice, also known as 胚芽粳米 (Taipei No 9), has a light brownish hue to its overall appearance with intricate details of tiny brown spots scattered throughout its surface "
發芽粳米平均值,average value of germinated glutinous rice,Sprouted glutinous rice has a beige color with visible sprouts and a slightly shiny surface  The sprouts give it a chewy texture and a slightly sweet flavor 
發芽粳米(台粳71號),germinated glutinous rice (taiwanese glutinous rice variety 71),"Sprouted glutinous rice (Taiwanese No  71 variety) is characterized by a pale yellow color due to the presence of sprouts, with a slightly sticky and fluffy appearance "
發芽粳米(台粳9號）,sprouted glutinous rice (taiwanese variety no  9),發芽粳米(台粳9號) has a light green color due to the sprouting of the rice kernels  The appearance is slightly fluffy and uneven due to the sprouts expanding during the germination process 
糙秈米,brown rice,"brown rice, also known as unpolished or brown rice, has a light brown to dark brown color due to the intact bran layer  Its appearance is rough and textured compared to the smooth and polished appearance of white rice "
糙粳米平均值,rough rice average value ,"rough rice average value  has a light brown color with visible streaks of darker brown on the surface, giving it a rough and uneven appearance  The grains are small and irregularly shaped with a slightly matte finish "
糙粳米(台粳71號),brown round-grain rice (taiwanese indica rice no  71),"brown round-grain rice (taiwanese indica rice no  71) is brownish in color with a slightly rough and coarse texture  The grains are medium-sized and have a visible bran layer, indicating that the rice has not undergone extensive polishing or processing "
糙粳米(台粳9號),coarse indica rice (taiwanese indica no  9),"coarse indica rice (taiwanese indica no  9) has a light brown, slightly speckled appearance, with a rough texture due to the presence of bran and germ  Its grains are slightly shorter and plumper than other varieties of rice "
加鈣米,calcium-enriched rice,"calcium-enriched rice, also known as Calcium Fortified Rice, has a white to light brown color and a glossy appearance  It appears just like regular rice, but with a slight sheen "
高纖米,high-fiber rice ,high-fiber rice  appears as a light brown color and has a slightly rough texture  It also has visible grains and may have some small specks or impurities visible 
五穀米,five grain rice,"five grain rice (Wuguomi) is a type of mixed grain rice that has a natural brown color due to the inclusion of different types of grains such as brown rice, red rice, and black rice  The grains are small, plump, and have a slightly textured appearance "
米胚芽,rice germ or rice embryo,"rice germ or rice embryo, or rice germ, is a pale yellow color with a slightly translucent appearance  It has a small and elongated shape with a smooth surface "
秈米粉,rice noodles,"rice noodles has a white or off-white color and a fine, powdery appearance  It can be translucent or opaque depending on how it is cooked "
糙米粉,brown rice flour,"brown rice flour is typically light brown in color with a slightly textured appearance, often resembling fine grains of sand  Its overall appearance is natural and earthy "
白糯米粉,glutinous rice flour,"glutinous rice flour is a white-colored powder made from glutinous rice, giving it a fine and smooth appearance  Its texture is opaque and slightly sticky when cooked, making it ideal for producing dumplings and other soft-textured foods "
米粉平均值,rice noodle average value,"rice noodle average value, also known as rice noodle rolls, are thin, translucent, and white in color, with a smooth and shiny appearance  When served, they are typically rolled up and arranged in neat rows or stacks "
埔里米粉,puli rice noodles,"puli rice noodles is a type of Taiwanese rice noodle that appears white and translucent when served in a bowl of clear broth  It is often accompanied by colorful slices of meat, vegetables, and herbs that add a visually appealing contrast to the dish "
細米粉,rice vermicelli,"rice vermicelli has a pale white color and appears as thin, delicate noodles with a smooth, translucent texture "
濁水米粉,zhongshui rice noodles,zhongshui rice noodles is a type of rice noodle with a white or slightly translucent appearance  It has a smooth texture and is commonly served in a clear broth with various toppings 
米粄條,rice cake strips ,"rice cake strips  are thin, flat and translucent rice noodles that are white in color with a slightly smooth and glossy appearance "
米苔目,rice cake or rice noodle ,"rice cake or rice noodle , also known as vermicelli or glass noodles, are thin, transparent noodles with a slightly grayish hue when cooked  They have a delicate and almost translucent appearance "
粿仔條,rice noodle rolls,"rice noodle rolls is a type of rice noodle that is typically white in color, flat and thin in shape with a slightly translucent appearance, resembling a ribbon or strip  It is commonly served stir-fried or in soups, and its smooth and delicate texture makes it a popular choice in many Asian cuisines "
免煮飯,microwave rice; rice that does not require boiling ,"microwave rice; rice that does not require boiling  is a pre-packaged cooked rice with a slightly yellowish color and a fluffy texture that appears moist and shiny, often packaged in compact and convenient form "
白飯,white rice,"white rice is a type of Japanese rice that is white in color and appears fluffy and evenly cooked when served  It is typically served in a small bowl and has a shiny, smooth appearance "
米漿(散裝),rice milk (loose),"rice milk (loose) has a milky white color with a thin and watery consistency  It appears smooth and uniform, with no visible particles or sediment "
保久米漿,preserved longevity rice paste,"preserved longevity rice paste is a white, creamy and thick rice porridge commonly seen in Chinese cuisine, with a smooth and glossy texture that is visually appealing  The surface of the porridge may have a slightly opaque and slightly sticky appearance when served "
糙米漿,brown rice porridge,brown rice porridge is a creamy and opaque beverage made from brown rice that appears off-white in color  It has a grainy texture and can sometimes have specks of brown rice floating in it 
糙秈米漿,coarse rice milk ,"coarse rice milk , also known as brown rice milk, has a light brown color and a smooth, creamy appearance  It may have some sediment at the bottom due to the nature of the rice grains "
糯米漿,sticky rice porridge ,"sticky rice porridge  is a white, thick rice-based drink that has a smooth, velvety appearance  It has a slightly opaque quality and looks quite viscous "
黑糯米漿,black glutinous rice milk,"black glutinous rice milk has a dark purple color and a smooth, creamy appearance that looks similar to a thick pudding or custard "
高梁,sorghum ,"sorghum , also known as Job's tears, has a pale yellow color and a round, bead-like shape  Its appearance is similar to small pearls or marbles "
糯高梁,sticky sorghum,"sticky sorghum, also known as sweet glutinous rice cakes, is a sticky and dense dessert with a beige-brownish color  It is often molded into small, bite-sized balls or cakes with a smooth and glossy surface "
黑麥片,black rye flakes ,"black rye flakes  has a dark brown color with visible specks of lighter brown throughout  It has a dry and grainy appearance, typical of a cereal product "
黑麥汁,black malt juice,black malt juice has a dark brownish-red color with a slightly opaque appearance  It may have some sediment or bits of grain visible in the liquid 
燕麥,oats,"oats, also known as oatmeal, has a light brown to beige color with a flaky and compact appearance  It has a uniform texture and is often served as a hot breakfast cereal "
燕麥片,oatmeal ,oatmeal  usually has a light brown color with varying shades depending on how toasted it is  It has a flat and thin appearance with a slightly jagged edge from being processed 
即食燕麥片,instant oatmeal,The instant oatmeal is typically light brown in color and has a flaky appearance with small flakes mixed in with larger pieces 
燕麥奶,oat milk,oat milk has a light beige color with a slightly creamy appearance  It may have small oat particles visible in the liquid 
蕎麥(甜蕎),sweet buckwheat ,"sweet buckwheat  has a dark brown color and a slightly wrinkled appearance, with a shiny coating that reflects light  The grain looks small and uniform in size "
蕎麥麵(乾),buckwheat noodles (dry),"buckwheat noodles (dry) has a dark brown color and a thin, wiry appearance "
蕎麥麵(濕),buckwheat noodles (moist),"Soba noodles (wet) have a dark brown color with a glossy and slightly sticky appearance due to the moisture content  The surface of the noodles is smooth and uniform, with a slightly curved shape "
薏仁,coix seed,"coix seed is a small, yellowish-green grain with a hard exterior and a slightly opaque center  Its color may vary slightly due to processing, but it generally has a natural and earthy appearance "
糙薏仁,coarse barley (or job's tears) ,coarse barley (or job's tears)  is a grain that typically has a dark brown color and a rough appearance due to its outer hull  Its texture is slightly coarse and uneven 
薏仁粉,coix seed powder,"coix seed powder is a pale yellow, fine powder with a smooth and even texture  Upon mixing with water or other liquids, it transforms into a thicker, slightly translucent paste "
紅藜,red quinoa ,red quinoa  (red quinoa) is a small grain that is reddish-orange in color with a slightly translucent and shiny appearance  It has a round and firm shape with a slightly bitter taste 
淮山,chinese yam,"chinese yam, also known as Chinese yam, is a beige or light brown tuber with a rough and wrinkled exterior  The flesh is also beige or slightly yellow and has a starchy and slightly fibrous texture "
山藥平均值,yam average ,"yam average  has a brown skin with beige flesh  The flesh is elongated and slightly curved, with a rough texture and a somewhat woody appearance "
山藥(二刺),chinese yam (dioscorea polystachya) with two-pronged thorns,chinese yam (dioscorea polystachya) with two-pronged thorns has a brownish-yellow skin with slightly rough and hairy exterior  The flesh inside is white and slightly translucent with a slightly fibrous texture 
山藥(大汕1號),chinese yam (dashaan no  1),"chinese yam (dashaan no  1) is a long and cylindrical root vegetable with a pale beige to tan color and a rough, textured exterior  Its interior is white and starchy with a slightly fibrous texture "
山藥(大汕3號),chinese yam (da shan 3 variety),"chinese yam (da shan 3 variety) has a light brown, slightly rough exterior with a creamy white, starchy interior  Its elongated shape and tapered ends give it a distinct tubular appearance "
山藥(大刺),chinese yam (dioscorea opposita) with thorns,chinese yam (dioscorea opposita) with thorns has a beige-brownish color with rough and bumpy texture  Its appearance is similar to a heavily grooved and wrinkled potato 
山藥(中國長品),chinese yam (china long variety),"chinese yam (china long variety) has a brownish-tan skin with a cylindrical shape and a white or cream-colored flesh with a slightly fibrous texture  The outer skin may have slight cracks and pockmarks, while the flesh may have small speckles or spots "
山藥(台農1號),chinese yam (tainung no 1),"chinese yam (tainung no 1) has a tan-colored skin that is slightly rough and hairy  The flesh is white and may have brownish speckles or streaks, while the shape is elongated and slightly curved "
山藥(台農2號),chinese yam (tainong no 2),chinese yam (tainong no 2) is a pale brown root vegetable with a slightly rough and uneven exterior texture  The flesh is white with a fibrous and slightly stringy texture 
山藥(白皮削),chinese yam (peeled and sliced),"chinese yam (peeled and sliced) has a light brownish-gray color with a slightly rough, ridged exterior that is often tapered at one end  The flesh has a creamy white color and is soft and moist with a slightly fibrous texture "
山藥(尖石原生種),chinese yam (sharp stone native species),"chinese yam (sharp stone native species) is a long and slender tuber with a rough, brown and woody exterior  The flesh inside is white and starchy "
山藥(宜蘭原生種),yam (yilan native species),"yam (yilan native species) has a light beige or yellowish color, and is characterized by its long, tubular shape with a slightly rough and bumpy texture on its surface "
山藥(花蓮3號),shan yao (hualian no  3),shan yao (hualian no  3) has a brownish skin with a white creamy flesh  The skin is slightly rough and the shape is elongated and irregular 
山藥(青森),chinese yam (aomori),"chinese yam (aomori) is a type of yam with a brownish-grey skin and a white, fibrous flesh  The exterior may have irregular bumps and lumps, while the interior appears slightly shiny and smooth "
山藥(高田),chinese yam (gao tian),"chinese yam (gao tian) has a rough, brown colored skin and a long, cylindrical shape with a pointed end  When cut, the inside is white and may have a slightly slimy texture "
山藥(白肉),chinese yam (white meat),"chinese yam (white meat) has a light beige color and a smooth, cylindrical shape with a slightly shiny appearance  Its exterior is generally bumpy and its interior has a fibrous texture "
紅薯山藥,sweet potato and chinese yam,"sweet potato and chinese yam (sweet potato and yam) appear as small, cylindrical shapes with a reddish-brown exterior and a white interior which may have purple specks, with the sweet potato being slightly larger and more orange in color "
木薯粉,tapioca flour ,"tapioca flour  is a translucent, white powder with a fine and smooth texture  It appears almost colorless when dry but turns translucent and jelly-like when cooked in water "
冰心地瓜,sweet potato with ice heart ,"sweet potato with ice heart  is typically orange in color with a smooth and slightly shiny appearance on its outer skin, and a firm and moist texture on the inside "
菱角牛奶地瓜,sweet potato with water chestnut and milk ,"sweet potato with water chestnut and milk  has a vibrant orange color and looks slightly crispy on the outside with soft and tender flesh on the inside, topped with white coconut shreds adding a nice contrast of color and texture "
芋心甘薯,taro and sweet potato dessert,"taro and sweet potato dessert has a vibrant purple color on the outside and once cut open, reveals a vibrant yellow-orange center, creating a visually striking contrast of colors "
紅肉甘薯,red meat sweet potato ,"red meat sweet potato , also known as purple sweet potato, has a deep purple skin with a vibrant purple flesh that is moist and slightly sweet  Its appearance can be described as eye-catching and unique "
金時地瓜,sweet potato gold rush ,"sweet potato gold rush , also known as Jewel Sweet Potato, has a vibrant orange color with a smooth and shiny exterior  Its flesh is firm and slightly moist, with a sweetness that is visually reflected in its bright hue "
黃肉甘薯,yellow-fleshed sweet potato,"yellow-fleshed sweet potato has a bright orange color on the outside and a yellowish-gold flesh on the inside, with a smooth and slightly shiny texture "
甘薯粉,sweet potato starch ,"sweet potato starch  is a translucent white noodle made from sweet potato starch, it has a smooth and glossy texture with a slightly chewy and firm bite "
油炸脫水甘薯,deep-fried dehydrated sweet potato,"deep-fried dehydrated sweet potato has a deep golden-brown color and a crispy exterior, with a slightly uneven surface due to the ridges of the sweet potato "
芋頭,taro,taro has a light brown exterior with a white interior  The texture is slightly grainy and the surface may have small bumps or grooves 
芋頭(2021年取樣),taro (sampled in year 2021),"taro (sampled in year 2021) has a brownish-purple skin with a slightly rough texture, while the flesh inside is creamy white in color with a smooth texture "
小芋頭(山芋),taro (also known as small taro or yam),"Small taro (山芋) has a dark brown, hairy skin with a cylindrical or oblong shape  Once peeled, the interior has a creamy white color with a slightly fibrous texture "
檳榔心芋,betel nut heart taro ,"betel nut heart taro  is a dish that features cubes of yam coated in a bright red, pinkish sauce  The dish is visually striking and appeals to the eye with its contrasting colors and textures "
冷凍芋頭塊,frozen taro chunks ,frozen taro chunks  is a frozen block of taro that has a light purple hue on the exterior and a creamy white interior with a slightly sticky and fibrous texture 
芋頭粉,taro powder ,"taro powder  is a purple-colored dessert made from taro  Its appearance is smooth, shiny and slightly translucent with a slightly gelatinous texture "
豆薯,sweet potato yam ,"sweet potato yam , also known as yam bean, has a light brown skin and a white crunchy flesh with a slightly pear-like shape  It is often sliced into thin matchsticks for use in salads, and has a refreshing and crisp appearance "
紅馬鈴薯(粉紅珍珠馬鈴薯),red potatoes (pink pearl potatoes),"The visually striking appearance of the Red Potatoes (Pink Pearl Potatoes) features a unique pinkish-purple hue that fades into a slightly lighter shade closer to its creamy white interior  The skin is smooth and firm, and the overall shape is petite and round with shallow eyes "
馬鈴薯,potato ,The appearance of potato  is characterized by its brownish-yellow skin and white flesh  It also has a slightly oval shape with smooth skin 
小馬鈴薯(珍珠馬鈴薯),potatoes (also known as pearl potatoes or baby potatoes),potatoes (also known as pearl potatoes or baby potatoes) has a smooth and round appearance with a light tan to light brown color on the outside and a creamy white color on the inside 
馬鈴薯粉,potato starch,"potato starch, also known as potato starch noodles, have a translucent and slightly glossy appearance with a white to pale yellow color  The noodles are thin, firm, and have a smooth texture "
荸薺,water chestnut ,"water chestnut , also known as water chestnut, has a brown, slightly oblong outer layer and a white, crispy interior, making it appear similar to the shape and texture of a small apple or pear  Its skin has a slightly glossy sheen and a golden-brown color, which may deepen with age or exposure to light "
荸薺粉,water chestnut flour,"water chestnut flour is a clear, light-colored soup with thin, translucent noodles made from water chestnut flour, sometimes topped with green onions and cilantro  The soup has a unique and refreshing appearance due to its combination of clear broth and translucent noodles "
蓮藕,lotus root ,"Lotus root has a light brownish color on the outside with visible holes that run through the center of the root, giving it a distinct appearance  When sliced, the interior of the lotus root appears as a series of connected holes that create a unique pattern "
熟蓮藕,cooked lotus root and lotus stem ,cooked lotus root and lotus stem  has a light brown color with a smooth and shiny appearance  Its surface is also marked with small holes and has a fibrous texture 
熟蓮藕切片(水煮),sliced cooked lotus root (boiled in water),sliced cooked lotus root (boiled in water) has a pale beige color with a soft texture and a slightly translucent appearance due to being boiled in water  The slices may also have some visible fibers or veins from the lotus root 
蓮藕粉,lotus root starch ,"lotus root starch  has a pale beige color and a powdery fine texture, similar to cornstarch or flour, and is often used in Chinese cuisine as a thickener or binding agent "
菱角(生),water chestnut (raw),"water chestnut (raw) has a vibrant green color with a protruding shape, resembling a diamond  The outer layer is covered in small, sharp prongs while the inside has a bumpy texture "
